EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0187,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,MEASURE THICKNESS
valid_0188,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,HARD BAKE
valid_0189,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0190,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,METAL PATTERN INSPECTION,VIA OPENING INSPECTION,EPITAXIAL REWORK CHECK
valid_0191,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,VIA ETCH,HARD BAKE,CLEAN AFTER VIA ETCH
valid_0192,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,FINAL CLEAN
valid_0193,CLEAN AFTER VIA ETCH,CLEAN AFTER ETCH,CLEAN AFTER METAL ETCH,ANNEAL METAL 1,DEPOSIT TOP METAL
valid_0194,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,CLEAN PAD OPENING,FINAL CLEAN,CMP VIA FILL
valid_0195,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0196,CLEAN PAD OPENING,PRE CLEAN INSPECTION,INITIAL WAFER INSPECTION,LEAKAGE TEST,FINAL THICKNESS MEASURE
valid_0197,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,HARD BAKE,OXIDE ETCH DRY
valid_0198,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,IMPLANT WELL
valid_0199,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE VIA RESISTANCE,MEASURE GATE CD,BREAKDOWN VOLTAGE TEST
valid_0200,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,FINAL CLEAN,PRE CLEAN WAFER
valid_0201,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0202,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,MEASURE CONTACT RESISTANCE
valid_0203,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH
valid_0204,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,MEASURE CONTACT RESISTANCE
valid_0205,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE SURFACE PLANARITY
valid_0206,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,METAL ETCH DRY,BREAKDOWN VOLTAGE TEST
valid_0207,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0208,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,MEASURE LINE WIDTH,DEPOSIT METAL 1
valid_0209,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0210,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,MEASURE LINE WIDTH,DEPOSIT METAL 1
valid_0211,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT TOP METAL,DEPOSIT METAL 1
valid_0212,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,DEPOSIT METAL 1,MEASURE LINE WIDTH
valid_0213,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SHEET RESISTANCE,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH
valid_0214,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,METAL ETCH DRY,LEAKAGE TEST
valid_0215,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT TOP METAL
valid_0216,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,MEASURE CD LEVEL 1,SWITCHING TEST
valid_0217,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0218,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0219,SOFT BAKE,THERMAL OXIDATION,CLEAN AFTER VIA ETCH,DEPOSIT TOP METAL,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0220,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,MEASURE CD LEVEL 1,SWITCHING TEST
valid_0221,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,BACKSIDE ETCH CLEAN,DEPOSIT BACKSIDE PROTECTION
valid_0222,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,EXPOSE LITHO LEVEL 2,MEASURE CD LEVEL 1
valid_0223,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT TOP METAL,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0224,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,METAL ETCH DRY,BREAKDOWN VOLTAGE TEST
valid_0225,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE,MEASURE POLY THICKNESS
valid_0226,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0227,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST
valid_0228,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE CONTACT RESISTANCE,DEPOSIT METAL 1
valid_0229,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0230,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0231,DENSIFY OXIDE,DENSIFY DIELECTRIC,BACKSIDE GRIND,FIELD OXIDE ETCH,DEPOSIT PAD OXIDE
valid_0232,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,ANNEAL DIELECTRIC,MEASURE CONTACT RESISTANCE
valid_0233,SOFT BAKE,CLEAN AFTER VIA ETCH,THERMAL OXIDATION,DEPOSIT TOP METAL,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0234,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0235,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0236,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0237,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH
valid_0238,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0239,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT TOP METAL,DEPOSIT METAL 1
valid_0240,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0241,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0242,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0243,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0244,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0245,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0246,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,EXPOSE LITHO LEVEL 2,POLY PATTERN INSPECTION,MEASURE CD LEVEL 1
valid_0247,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH
valid_0248,CURE PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION
valid_0249,SOFT BAKE,CLEAN AFTER VIA ETCH,DEPOSIT TOP METAL,THERMAL OXIDATION,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0250,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,BREAKDOWN VOLTAGE TEST,DEPOSIT PASSIVATION,DEPOSIT METAL 1
valid_0251,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT FIELD OXIDE,PARAMETRIC TEST
valid_0252,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT BACKSIDE METAL,EXPOSE LITHO LEVEL 2,POLY PATTERN INSPECTION
valid_0253,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0254,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,EXPOSE LITHO LEVEL 2,PAD WINDOW LITHO
valid_0255,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,PARAMETRIC TEST,DEPOSIT TOP METAL
valid_0256,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,SWITCHING TEST,EXPOSE LITHO LEVEL 2
valid_0257,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH
valid_0258,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0259,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT FIELD OXIDE,PARAMETRIC TEST
valid_0260,CURE PASSIVATION,DEPOSIT PASSIVATION,METAL ETCH DRY,DEPOSIT PASSIVATION LAYER,BREAKDOWN VOLTAGE TEST
valid_0261,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT TOP METAL,DEPOSIT METAL 1
valid_0262,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0263,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,DEPOSIT INTERLEVEL DIELECTRIC
valid_0264,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST,METAL ETCH DRY
valid_0265,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0266,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,IMPLANT LDD
valid_0267,SOFT BAKE,CLEAN AFTER VIA ETCH,THERMAL OXIDATION,DEPOSIT TOP METAL,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0268,CURE PASSIVATION,METAL ETCH DRY,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,WET CLEAN RCA1
valid_0269,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0270,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,EXPOSE LITHO LEVEL 2,SWITCHING TEST,DEPOSIT BACKSIDE METAL
valid_0271,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT TOP METAL,IMPLANT DRAIN / CATHODE REGION
valid_0272,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0273,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST
valid_0274,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,MEASURE CONTACT RESISTANCE
valid_0275,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH,MEASURE POLY THICKNESS
valid_0276,CURE PASSIVATION,METAL ETCH DRY,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0277,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE PLANARITY,MEASURE SURFACE PLANARITY
valid_0278,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,EXPOSE LITHO LEVEL 2,MEASURE CD LEVEL 1
valid_0279,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0280,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,IMPLANT LDD
valid_0281,DENSIFY OXIDE,DENSIFY DIELECTRIC,FIELD OXIDE ETCH,BACKSIDE GRIND,DEPOSIT PAD OXIDE
valid_0282,CLEAN AFTER METAL ETCH,CLEAN AFTER ETCH,CLEAN AFTER VIA ETCH,MEASURE CONTACT RESISTANCE,CLEAN AFTER POLY ETCH
valid_0283,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT TOP METAL
valid_0284,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST,METAL ETCH DRY
valid_0285,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST
valid_0286,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,WET CLEAN RCA1,RCA CLEAN 1
valid_0287,EXPOSE LITHO LEVEL 5,EXPOSE LITHO LEVEL 6,OPEN PAD WINDOW LITHO,ALIGN MASK LEVEL 6,DEPOSIT PASSIVATION LAYER
valid_0288,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,SWITCHING TEST,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO
valid_0289,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0290,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,WET CLEAN RCA1,MEASURE LINE WIDTH,RCA CLEAN 1
valid_0291,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SHEET RESISTANCE,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH
valid_0292,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,METAL ETCH DRY,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST
valid_0293,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH,MEASURE POLY THICKNESS
valid_0294,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE CONTACT RESISTANCE,DEPOSIT METAL 1
valid_0295,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,BACKSIDE ETCH CLEAN,ANNEAL METAL 1
valid_0296,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,IMPLANT LDD,DEPOSIT METAL 1
valid_0297,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,SPIN COAT PHOTORESIST
valid_0298,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0299,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT TOP METAL
valid_0300,CURE PASSIVATION,METAL ETCH DRY,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1
valid_0301,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,ANNEAL METAL 1,BACKSIDE ETCH CLEAN
valid_0302,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,IMPLANT LDD,DEPOSIT METAL 1
valid_0303,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC
valid_0304,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0305,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE POLY THICKNESS
valid_0306,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,OPEN PAD WINDOW LITHO,SWITCHING TEST,PAD WINDOW LITHO
valid_0307,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,BACKSIDE ETCH CLEAN,ANNEAL METAL 1
valid_0308,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,ELECTRICAL PARAMETRIC TEST
valid_0309,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,MEASURE POLY THICKNESS
valid_0310,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,BREAKDOWN VOLTAGE TEST,DEPOSIT PASSIVATION,DEPOSIT METAL 1
valid_0311,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,IMPLANT DRAIN / CATHODE REGION,DEPOSIT TOP METAL
valid_0312,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,METAL ETCH DRY
valid_0313,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0314,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,MEASURE CONTACT RESISTANCE,DEPOSIT METAL 1
valid_0315,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE,MEASURE POLY THICKNESS
valid_0316,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0317,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,SPIN COAT PHOTORESIST
valid_0318,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,EXPOSE LITHO LEVEL 2,POLY PATTERN INSPECTION,SWITCHING TEST
valid_0319,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,BACKSIDE ETCH CLEAN,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0320,CURE PASSIVATION,DEPOSIT METAL 1,DEPOSIT PASSIVATION LAYER,ANNEAL METAL 1,DEPOSIT PASSIVATION
valid_0321,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE
valid_0322,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,BREAKDOWN VOLTAGE TEST,DEPOSIT METAL 1
valid_0323,SOFT BAKE,THERMAL OXIDATION,CLEAN AFTER VIA ETCH,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT TOP METAL
valid_0324,OPEN PAD WINDOW,OPEN BOND PAD WINDOW,WAFER SORT TEST,CLEAN AFTER METAL ETCH,METAL ETCH DRY
valid_0325,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0326,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,MEASURE LINE WIDTH,MEASURE CONTACT RESISTANCE
valid_0327,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH
valid_0328,CURE PASSIVATION,DEPOSIT METAL 1,METAL ETCH DRY,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER
valid_0329,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,DEPOSIT METAL 1,DEPOSIT TOP METAL
valid_0330,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,DEPOSIT BACKSIDE METAL,EXPOSE LITHO LEVEL 2,POLY PATTERN INSPECTION
valid_0331,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,SPIN COAT PHOTORESIST,METAL ETCH DRY,MEASURE DEVICE PARAMETER
valid_0332,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT METAL 1,DEPOSIT PASSIVATION,METAL ETCH DRY
valid_0333,DENSIFY DIELECTRIC,DENSIFY OXIDE,BACKSIDE GRIND,FIELD OXIDE ETCH,DEPOSIT PAD OXIDE
valid_0334,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE CONTACT RESISTANCE,ANNEAL DIELECTRIC
valid_0335,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0336,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,EXPOSE LITHO LEVEL 2,POLY PATTERN INSPECTION,SWITCHING TEST
valid_0337,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0338,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,WET CLEAN RCA1,RCA CLEAN 1
valid_0339,SOFT BAKE,THERMAL OXIDATION,DEPOSIT TOP METAL,CLEAN AFTER VIA ETCH,DEPOSIT GATE OXIDE OR DIELECTRIC
valid_0340,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,BREAKDOWN VOLTAGE TEST
valid_0341,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,MEASURE POLY THICKNESS
valid_0342,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,CLEAN AFTER METAL ETCH,PRE ANNEAL CHECK,ALIGN MASK LEVEL 6
valid_0343,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE JUNCTION DEPTH,MEASURE SHEET RESISTANCE,MEASURE POLY THICKNESS
valid_0344,MEASURE PASSIVATION QUALITY,MEASURE PASSIVATION THICKNESS,SWITCHING TEST,EXPOSE LITHO LEVEL 2,POLY PATTERN INSPECTION
valid_0345,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE JUNCTION DEPTH
valid_0346,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,POLY PATTERN INSPECTION,SWITCHING TEST,PAD WINDOW LITHO
valid_0347,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0348,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,MEASURE CONTACT RESISTANCE
valid_0349,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE FILM THICKNESS,MEASURE DEVICE PARAMETER,MEASURE JUNCTION PROFILE
valid_0350,CLEAN AFTER METAL ETCH,CLEAN PAD OPENING,CLEAN AFTER ETCH,CLEAN AFTER VIA ETCH,DEPOSIT TOP METAL
valid_0351,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,THERMAL OXIDATION
valid_0352,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,MEASURE LINE WIDTH,DEPOSIT METAL 1,MEASURE CONTACT RESISTANCE
valid_0353,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 6,EXPOSE LITHO LEVEL 5,FILL VIA METAL,FILL VIA TUNGSTEN
valid_0354,CURE PASSIVATION,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,DEPOSIT METAL 1,LEAKAGE TEST
